path,participant,type,jump_count,label
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-cmj-right/anon_P1-rsz-fps15-cmj-right-1.mp4,P1,cmj-right,1,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-cmj-right/anon_P1-rsz-fps15-cmj-right-2.mp4,P1,cmj-right,2,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-cmj-right/anon_P1-rsz-fps15-cmj-right-3.mp4,P1,cmj-right,3,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-cmj-right/anon_P1-rsz-fps15-cmj-right-4.mp4,P1,cmj-right,4,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-cmj-right/anon_P1-rsz-fps15-cmj-right-5.mp4,P1,cmj-right,5,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-dj-right/anon_P1-rsz-fps15-dj-right-1.mp4,P1,dj-right,1,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-dj-right/anon_P1-rsz-fps15-dj-right-2.mp4,P1,dj-right,2,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-dj-right/anon_P1-rsz-fps15-dj-right-3.mp4,P1,dj-right,3,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-dj-right/anon_P1-rsz-fps15-dj-right-4.mp4,P1,dj-right,4,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P1-rsz-fps15/anon_P1-rsz-fps15-dj-right/anon_P1-rsz-fps15-dj-right-5.mp4,P1,dj-right,5,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-cmj-right/anon_P2-rsz-fps15-cmj-right-1.mp4,P2,cmj-right,1,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-cmj-right/anon_P2-rsz-fps15-cmj-right-2.mp4,P2,cmj-right,2,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-cmj-right/anon_P2-rsz-fps15-cmj-right-3.mp4,P2,cmj-right,3,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-cmj-right/anon_P2-rsz-fps15-cmj-right-4.mp4,P2,cmj-right,4,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-cmj-right/anon_P2-rsz-fps15-cmj-right-5.mp4,P2,cmj-right,5,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-dj-right/anon_P2-rsz-fps15-dj-right-1.mp4,P2,dj-right,1,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-dj-right/anon_P2-rsz-fps15-dj-right-2.mp4,P2,dj-right,2,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-dj-right/anon_P2-rsz-fps15-dj-right-3.mp4,P2,dj-right,3,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-dj-right/anon_P2-rsz-fps15-dj-right-4.mp4,P2,dj-right,4,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P2-rsz-fps15/anon_P2-rsz-fps15-dj-right/anon_P2-rsz-fps15-dj-right-5.mp4,P2,dj-right,5,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-cmj-right/anon_P3-rsz-fps15-cmj-right-1.mp4,P3,cmj-right,1,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-cmj-right/anon_P3-rsz-fps15-cmj-right-2.mp4,P3,cmj-right,2,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-cmj-right/anon_P3-rsz-fps15-cmj-right-3.mp4,P3,cmj-right,3,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-cmj-right/anon_P3-rsz-fps15-cmj-right-4.mp4,P3,cmj-right,4,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-cmj-right/anon_P3-rsz-fps15-cmj-right-5.mp4,P3,cmj-right,5,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-dj-right/anon_P3-rsz-fps15-dj-right-1.mp4,P3,dj-right,1,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-dj-right/anon_P3-rsz-fps15-dj-right-2.mp4,P3,dj-right,2,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-dj-right/anon_P3-rsz-fps15-dj-right-3.mp4,P3,dj-right,3,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-dj-right/anon_P3-rsz-fps15-dj-right-4.mp4,P3,dj-right,4,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-dj-right/anon_P3-rsz-fps15-dj-right-5.mp4,P3,dj-right,5,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P3-rsz-fps15/anon_P3-rsz-fps15-dj-right/anon_P3-rsz-fps15-dj-right-6.mp4,P3,dj-right,6,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P4-rsz-fps15/anon_P4-rsz-fps15-cmj-right/anon_P4-rsz-fps15-cmj-right-1.mp4,P4,cmj-right,1,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P4-rsz-fps15/anon_P4-rsz-fps15-cmj-right/anon_P4-rsz-fps15-cmj-right-2.mp4,P4,cmj-right,2,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P4-rsz-fps15/anon_P4-rsz-fps15-cmj-right/anon_P4-rsz-fps15-cmj-right-3.mp4,P4,cmj-right,3,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P4-rsz-fps15/anon_P4-rsz-fps15-cmj-right/anon_P4-rsz-fps15-cmj-right-4.mp4,P4,cmj-right,4,0
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P4-rsz-fps15/anon_P4-rsz-fps15-dj-right/anon_P4-rsz-fps15-dj-right-1.mp4,P4,dj-right,1,1
/s/babbage/b/nobackup/nblancha/public-datasets/APE-V/clipped_athletic_data_rsz_fps15_every_10th/P4-rsz-fps15/anon_P4-rsz-fps15-dj-right/anon_P4-rsz-fps15-dj-right-2.mp4,P4,dj-right,2,0
